State ,Ownership,Rate
Alabama,48.9,17.6
Alaska,61.7,19.8
Arizona,32.3,14.1
Arkansas,57.9,16.8
California,20.1,7.7
Colorado,34.3,11.5
Connecticut,16.6,4.4
Delaware,5.2,10.3
Florida,32.5,11.9
Georgia,31.6,12.6
Hawai,45.1,2.6
Idaho,56.9,14.1
Illinois,26.2,8.6
Indiana,33.8,13
Iowa,33.8,8
Kansas,32.2,11.4
Kentucky,42.4,13.7
Louisiana,44.5,19.3
Maine,22.6,10.9
Maryland,20.7,9.7
Massachusetts,22.6,3.1
Michigan,28.8,12
Minnesota,36.7,7.6
Mississippi,42.8,17.8
Missouri,27.1,14.4
Montana,52.3,16.7
Nebraska,19.8,9
Nevada,37.5,13.8
NewHampshire,14.4,6.4
NewJersey,11.3,5.7
NewMexico,49.9,15.5
NewYork,10.3,4.2
NorthCarolina,28.7,12.1
NorthDakota,47.9,11.8
Ohio,19.6,11
Oklahoma,31.2,16.5
Oregon,26.6,11
Pennsylvania,27.1,11.2
RhodeIsland,5.8,5.3
SouthCarolina,44.4,15.2
SouthDakota,35,10
Tennessee,39.4,15.4
Texas,35.7,10.6
Utah,31.9,12.6
Vermont,28.8,9.2
Virginia,29.3,10.2
Washington,27.7,8.7
WestVirginia,54.2,14.3
Wisconsin,34.7,9.7
Wyoming,53.8,16.7
