Taxes,Size,bedrooms,baths,new,price
3104,2048,4,2,0,279900
1173,912,2,1,0,146500
3076,1654,4,2,0,237700
1608,2068,3,2,0,200000
1454,1477,3,3,0,159900
2997,3153,3,2,1,499900
4054,1355,3,2,0,265500
3002,2075,3,2,1,289900
6627,3990,5,4,0,587000
320,1160,3,2,0,70000
630,1220,3,2,0,64500
1780,1690,3,2,0,167000
1630,1380,3,2,0,114600
1530,1590,3,2,0,103000
930,1050,3,1,0,101000
590,770,2,1,0,70000
1050,1410,3,2,0,85000
20,1060,3,1,0,22500
870,1300,2,2,0,90000
1320,1500,3,2,0,133000
1350,820,2,1,0,90500
5616,3949,4,3,1,577500
680,1170,2,1,0,142500
1840,1500,3,2,0,160000
3680,2790,4,2,0,240000
1660,1030,3,1,0,87000
1620,1250,3,2,0,118600
3100,1760,3,2,0,140000
2070,1550,2,3,0,148000
830,1120,3,2,0,69000
2260,2000,4,2,0,176000
1760,1350,3,1,0,86500
2750,1840,3,2,1,180000
2020,2510,4,2,0,179000
4900,3110,3,3,1,338000
1180,1760,4,2,0,130000
2150,1710,3,2,0,163000
1600,1110,2,1,0,125000
1970,1360,3,2,0,100000
2060,1250,3,1,0,100000
1980,1250,3,1,0,100000
1510,1480,3,2,0,146500
1710,1520,3,2,0,144900
1590,2020,3,2,0,183000
1230,1010,3,2,0,69900
1510,1640,2,2,0,60000
1450,940,2,2,0,127000
970,1580,3,2,0,86000
150,860,2,2,0,50000
1470,1420,3,2,0,137000
1850,1270,3,2,0,121300
820,980,2,1,0,81000
2050,2300,4,2,0,188000
710,1430,3,2,0,85000
1280,1380,3,2,0,137000
1360,1240,3,2,0,145000
830,1120,3,2,0,69000
800,1120,3,2,0,109300
1220,1900,3,2,0,131500
3360,2430,4,3,0,200000
210,1080,3,2,0,81900
380,1350,2,1,0,91200
1920,1720,4,3,0,124500
4350,4050,3,3,0,225000
1510,1500,3,2,0,136500
4154,2581,3,3,0,381000
1976,2120,3,2,1,250000
3605,2745,3,3,1,354900
1400,1520,3,2,0,140000
790,1280,2,2,0,89900
1210,1620,3,2,0,137000
1550,1520,3,2,0,103000
2800,2030,3,2,0,183000
2560,1390,3,2,0,140000
1390,1880,4,2,0,160000
5443,2891,3,2,0,434000
2850,1340,2,1,0,130000
2230,940,2,2,0,123000
20,580,2,1,0,21000
1510,1410,4,2,0,85000
710,1150,3,2,0,69900
1540,1380,3,2,0,125000
1780,1470,3,2,1,162600
2920,1590,2,2,1,156900
1710,1200,3,2,1,105900
1880,1920,3,2,0,167500
1680,2150,3,2,0,151800
3690,2200,5,3,0,118300
900,860,2,2,0,94300
560,1230,3,1,0,93900
2040,1140,4,2,0,165000
4390,2650,4,3,1,285000
690,1060,3,1,0,45000
2100,1770,3,2,0,124900
2880,1860,4,2,0,147000
990,1060,2,2,0,176000
3030,1730,3,2,0,196500
1580,1370,3,2,0,132200
1770,1560,3,2,0,88400
1430,1340,3,2,0,127200
